x,y,duration_ms
640,480,423.202392578125
350,333,334.366943359375
384,441,202.113525390625
377,475,195.630859375
388,360,185.609130859375
219,341,100.0283203125
186,364,234.643310546875
362,146,130.825439453125
339,472,111.10107421875
630,480,202.657470703125
338,480,203.615966796875
336,480,311.463623046875
485,480,316.2578125
208,480,136.6796875
340,480,179.06201171875
364,480,113.857421875
302,480,1931.357666015625
156,480,705.767578125
197,480,406.78662109375
629,480,1550.85302734375
258,480,133.978271484375
599,480,438.25390625
631,480,380.682861328125
167,480,454.299560546875
137,480,726.164794921875
190,480,602.24462890625
431,480,105.0517578125
629,480,3244.8193359375
486,480,812.41455078125
599,480,113.395263671875
629,480,1400.11767578125
346,480,1487.42919921875
398,480,153.392333984375
310,480,393.406982421875
382,480,147.089111328125
415,480,207.997314453125
351,480,1159.52490234375
318,480,883.77099609375
370,480,156.88427734375
403,480,161.072509765625
334,480,1154.906005859375
369,480,216.512451171875
415,480,786.29931640625
315,480,204.04345703125
354,480,207.905517578125
385,480,650.172119140625
416,480,106.33642578125
601,480,157.29052734375
301,480,163.51025390625
498,480,240.3505859375
466,480,442.1884765625
603,480,219.5771484375
635,480,552.759033203125
583,480,108.5654296875
625,480,777.71484375
232,480,140.881591796875
589,480,205.894287109375
627,480,249.125
602,480,240.784912109375
635,480,1054.52587890625
56,480,120.201171875
13,480,430.7587890625
604,480,314.3388671875
636,480,387.074951171875
319,480,2273.5830078125
195,480,278.881103515625
603,480,186.493896484375
635,480,5275.756103515625
352,480,103.251953125
50,480,110.931396484375
12,480,613.201904296875
183,480,108.632080078125
584,480,104.6083984375
626,480,845.43603515625
411,480,194.481689453125
11,480,544.546630859375
299,480,346.356201171875
131,480,112.28759765625
74,480,382.707763671875
111,480,187.542236328125
69,480,920.9375
20,480,502.867919921875
588,480,704.427734375
627,480,2766.415283203125
9,480,481.1904296875
516,480,126.73046875
605,480,329.196533203125
635,480,20995.122802734375
389,480,2321.860595703125
552,480,208.12890625
35,480,198.310791015625
