timestamp,x,y
1743449779.9741764,640,480
1743449780.0345242,640,469
1743449780.0964684,640,457
1743449780.162105,640,453
1743449780.222629,640,466
1743449780.2892575,640,473
1743449780.3512418,640,476
1743449780.4162216,640,478
1743449780.4777355,640,463
1743449780.5408719,640,456
1743449780.6029725,596,421
1743449780.6997743,551,388
1743449780.8103561,471,310
1743449780.9058774,430,271
1743449781.0190346,391,235
1743449781.1275916,367,210
1743449781.2241209,345,189
1743449781.3176858,334,202
1743449781.415221,310,217
1743449781.5593424,273,216
1743449781.655875,255,216
1743449781.7719467,203,216
1743449781.8762136,158,200
1743449781.9888673,174,185
1743449782.1007273,187,200
1743449782.2102835,155,200
1743449782.3173544,106,223
1743449782.4114404,76,235
1743449782.5032585,61,241
1743449782.5883968,49,259
1743449782.682501,43,268
1743449782.7780805,45,273
1743449782.8560858,46,275
1743449782.9376426,56,276
1743449783.0107899,65,277
1743449783.0872128,80,277
1743449783.1577964,87,277
1743449783.2254667,91,293
1743449783.3082533,98,301
1743449783.3807442,101,305
1743449783.4697528,107,299
1743449783.5588312,106,304
1743449783.6401832,105,306
1743449783.7072134,105,307
1743449783.7757843,105,308
1743449783.8528154,124,308
1743449783.9453273,147,316
1743449784.0323884,159,320
1743449784.1119263,160,338
1743449784.186577,156,354
1743449784.268615,154,378
1743449784.369153,153,390
1743449784.4576738,162,411
1743449784.5533953,171,437
1743449784.6358984,181,459
1743449784.7056968,186,469
1743449784.779875,193,474
1743449784.8548722,206,477
1743449784.924513,251,478
1743449785.0145092,273,479
1743449785.0910573,294,479
1743449785.1620739,275,479
1743449785.258484,266,479
1743449785.3300421,238,480
1743449785.410562,219,480
1743449785.4715674,209,480
1743449785.5546217,204,480
1743449785.6371777,226,480
1743449785.7037714,323,480
1743449785.7658117,371,480
1743449785.8341424,405,480
1743449785.8957481,431,480
1743449785.9727755,444,480
1743449786.0369544,423,480
1743449786.1136007,412,480
1743449786.1895454,406,480
1743449786.2575493,403,480
1743449786.3337789,412,480
1743449786.3942935,382,480
1743449786.4562955,367,480
1743449786.545363,364,480
1743449786.6474524,373,480
1743449786.7411604,377,480
1743449786.8499146,389,480
1743449786.9397085,375,480
1743449787.038381,378,471
1743449787.1239166,384,467
1743449787.2174854,397,473
1743449787.3100777,403,476
1743449787.401143,454,470
1743449787.4987297,480,475
1743449787.5889015,488,477
1743449787.6679163,501,478
1743449787.7461114,508,479
1743449787.826645,507,479
1743449787.917229,506,479
1743449788.012344,491,479
1743449788.1069298,484,479
1743449788.1965263,480,479
1743449788.3018928,411,480
1743449788.3878162,377,480
1743449788.4638598,298,480
1743449788.5390131,258,480
1743449788.6170087,238,480
1743449788.697574,214,480
1743449788.7766325,202,480
1743449788.853409,201,471
1743449788.9518483,200,452
1743449789.0264761,200,442
1743449789.1182323,199,437
1743449789.213403,199,435
1743449789.3099144,252,418
1743449789.4054427,383,418
1743449789.5019498,449,410
1743449789.606321,482,406
