x,y,duration_ms
640,443,188.70849609375
537,428,202.7109375
380,81,504.560546875
267,83,356.398681640625
240,127,153.68994140625
322,139,159.094482421875
348,230,182.062744140625
485,442,164.529541015625
223,32,249.103759765625
224,1,275.42041015625
568,466,548.9873046875
528,478,186.684326171875
506,341,182.83056640625
296,466,233.97900390625
609,480,642.223388671875
498,431,100.745361328125
425,458,717.19921875
447,480,1452.573974609375
368,447,111.74072265625
348,471,108.20654296875
437,478,114.68212890625
512,479,250.813720703125
285,480,787.268798828125
113,480,205.209716796875
67,442,128.67041015625
102,470,233.546630859375
609,480,358.28857421875
422,480,154.68212890625
392,480,236.56640625
347,480,123.62744140625
414,480,219.033447265625
306,480,130.086181640625
269,480,131.44384765625
323,480,116.572021484375
