timestamp,x,y
1743450222.339652,623,280
1743450222.4281764,623,333
1743450222.5143332,623,394
1743450222.6039257,623,397
1743450222.6980734,605,440
1743450222.7936478,606,460
1743450222.8886847,598,470
1743450222.9826581,610,475
1743450223.0769022,510,377
1743450223.1721444,435,308
1743450223.2527258,398,274
1743450223.3447676,370,177
1743450223.4293315,340,148
1743450223.5164099,325,73
1743450223.6309476,318,36
1743450223.7640257,306,58
1743450223.8715775,292,88
1743450223.9741132,293,104
1743450224.0757005,285,112
1743450224.1645825,281,115
1743450224.2526941,263,57
1743450224.3287094,254,28
1743450224.472805,233,74
1743450224.5484388,173,57
1743450224.6410012,143,88
1743450224.7105815,112,84
1743450224.804769,97,82
1743450224.8762596,81,121
1743450224.951273,64,140
1743450225.0203986,64,170
1743450225.0949652,64,225
1743450225.171545,220,352
1743450225.243556,323,416
1743450225.3136988,374,448
1743450225.3925657,392,464
1743450225.470001,384,472
1743450225.5495293,381,476
1743450225.6280665,256,478
1743450225.7076302,185,479
1743450225.7751484,100,479
1743450225.8487256,58,480
1743450225.92025,36,439
1743450225.9947834,34,459
1743450226.0948796,32,469
1743450226.1764276,48,434
1743450226.2628427,56,397
1743450226.3436794,36,378
1743450226.4222295,42,329
1743450226.4935153,45,304
1743450226.580735,63,352
1743450226.6602716,72,336
1743450226.7242746,77,327
1743450226.8054104,87,283
1743450226.879858,92,301
1743450226.995463,103,270
1743450227.068853,108,255
1743450227.1484761,136,287
1743450227.2280571,133,303
1743450227.3048093,140,351
1743450227.389052,143,375
1743450227.4645526,145,388
1743450227.543192,146,394
1743450227.6228268,146,397
1743450227.7209926,105,438
1743450227.7974892,85,459
1743450227.871157,67,469
1743450227.9524572,66,474
1743450228.031993,65,477
1743450228.1099834,48,478
1743450228.187775,48,479
1743450228.26831,48,479
1743450228.3427854,180,479
1743450228.408378,245,480
1743450228.4751148,278,480
1743450228.5313215,319,480
1743450228.5982232,307,480
1743450228.6558764,301,480
1743450228.716838,265,480
1743450228.7964363,255,480
1743450228.8763466,250,480
1743450228.9367712,240,439
1743450229.016253,259,439
1743450229.107564,268,419
1743450229.189433,273,409
1743450229.2661974,284,324
1743450229.3663664,256,242
1743450229.4543986,406,200
1743450229.5498748,482,180
1743450229.6494257,503,190
1743450229.7499835,514,214
1743450229.8404927,412,347
1743450229.938014,337,413
1743450230.016595,299,446
1743450230.148148,256,463
1743450230.2296648,128,471
1743450230.3162055,63,476
1743450230.4227414,39,478
1743450230.4972806,27,479
1743450230.595476,13,479
1743450230.6900263,55,480
1743450230.7589908,125,480
1743450230.835044,160,480
1743450230.9158325,186,480
1743450230.97908,191,480
1743450231.0568044,202,480
1743450231.1368074,207,480
1743450231.214409,276,480
1743450231.2933283,277,480
1743450231.3698545,277,480
1743450231.429697,286,480
1743450231.5072584,298,480
1743450231.570805,304,480
1743450231.6328228,308,480
1743450231.713395,334,439
1743450231.8219302,380,239
1743450231.9282157,403,139
1743450232.01631,291,309
1743450232.1064112,293,394
1743450232.1894703,269,437
1743450232.2980514,249,458
1743450232.4086154,272,469
1743450232.4967837,283,474
1743450232.5988603,264,477
1743450232.7253976,222,478
1743450232.8479474,176,479
1743450232.9587913,170,480
1743450233.0448494,150,480
1743450233.1077092,132,480
1743450233.1891487,123,480
1743450233.2856827,151,480
1743450233.3729732,165,480
1743450233.4519942,172,480
1743450233.524051,159,480
1743450233.6016169,177,480
1743450233.669162,195,480
1743450233.7501698,204,480
1743450233.8506968,208,480
1743450233.93824,268,459
1743450234.0242798,322,429
1743450234.1188767,350,414
1743450234.2124166,363,427
1743450234.31096,370,373
1743450234.415554,406,346
1743450234.4955509,441,333
1743450234.57671,458,326
1743450234.671197,475,363
1743450234.7542055,475,381
1743450234.8437371,475,430
1743450234.935103,500,455
1743450235.0318184,512,467
1743450235.126347,510,473
1743450235.2343361,394,477
1743450235.334879,344,478
1743450235.4261193,319,479
1743450235.5222044,216,479
1743450235.6047537,165,479
1743450235.689311,106,480
1743450235.7818398,110,480
1743450235.885376,87,480
1743450235.96439,75,480
1743450236.0404825,70,480
1743450236.1220527,67,480
1743450236.1976397,82,480
1743450236.2787116,90,480
1743450236.373244,233,480
1743450236.4612567,297,480
1743450236.5413206,320,439
1743450236.632853,332,419
1743450236.7094333,338,409
1743450236.8109798,169,444
1743450236.9008129,84,462
1743450237.0013506,42,471
1743450237.0904047,21,475
1743450237.1699817,10,477
1743450237.2645116,5,478
1743450237.3580513,2,479
1743450237.4593234,1,479
1743450237.6223319,0,479
1743450237.7205062,0,480
1743450237.796758,0,480
1743450237.870832,0,480
1743450237.9503682,0,480
1743450238.0354652,0,480
1743450238.1480014,16,480
1743450238.2211595,8,480
1743450238.2922275,28,480
1743450238.3822846,38,480
1743450238.4633045,35,480
1743450238.545412,58,480
1743450238.638943,61,480
1743450238.7314956,63,480
1743450238.8160233,39,480
1743450238.9060931,27,480
1743450238.9826665,13,480
1743450239.059318,6,480
1743450239.134807,3,480
1743450239.2383587,9,480
1743450239.3119087,12,480
1743450239.3924751,6,480
1743450239.4762762,3,480
1743450239.5508459,26,480
1743450239.6162417,37,480
1743450239.7367926,67,480
1743450239.83951,90,480
1743450239.911814,86,480
1743450239.989755,92,480
1743450240.0498693,62,480
1743450240.1144054,31,480
1743450240.1979573,15,480
1743450240.2855175,7,480
1743450240.3675122,3,480
1743450240.4469912,1,480
1743450240.5351572,0,480
1743450240.6017027,0,480
1743450240.7052622,0,480
1743450240.7718253,0,480
1743450240.8478346,0,480
1743450240.9288585,0,480
1743450240.9925954,24,480
1743450241.071697,36,480
1743450241.1546955,67,480
1743450241.228313,33,480
1743450241.306133,16,480
1743450241.3837545,8,480
1743450241.463611,4,480
1743450241.5257127,2,480
1743450241.5912507,1,480
1743450241.6680398,0,480
1743450241.749336,0,480
1743450241.8247933,0,480
1743450241.904182,0,480
1743450241.9842663,0,480
1743450242.0592165,0,480
1743450242.1420367,0,480
1743450242.229248,0,480
1743450242.3061228,0,480
1743450242.385528,0,480
1743450242.4645252,0,480
1743450242.5464625,0,480
1743450242.6218386,0,480
1743450242.699864,0,480
1743450242.7753828,0,480
1743450242.8589873,0,480
1743450242.9370868,0,480
1743450243.0172768,0,480
1743450243.095853,0,480
1743450243.1723566,0,480
1743450243.2563546,0,480
1743450243.333918,0,480
1743450243.4074874,0,480
1743450243.4919028,0,480
1743450243.5662103,0,480
1743450243.6448438,0,480
1743450243.721411,0,480
1743450243.8001678,0,480
1743450243.8772676,0,480
1743450243.9572036,0,480
1743450244.0349755,0,480
1743450244.0977688,0,480
1743450244.1738951,0,480
1743450244.2532578,0,480
1743450244.3276415,0,480
1743450244.410016,0,480
1743450244.4846902,0,480
1743450244.5644941,0,480
1743450244.6441047,0,480
1743450244.7321262,0,480
1743450244.8116758,0,480
1743450244.8907616,0,480
1743450244.9672203,0,480
1743450245.0498333,0,480
1743450245.128979,0,480
1743450245.2137897,0,480
1743450245.2928965,24,480
1743450245.3807337,36,480
1743450245.456811,50,480
1743450245.5333753,74,480
1743450245.6101232,86,480
1743450245.6911745,100,480
1743450245.7712233,82,480
1743450245.847839,49,480
1743450245.9274602,32,480
1743450246.0070195,16,480
1743450246.0890534,8,480
1743450246.1772234,4,480
1743450246.2548714,1,480
1743450246.3349369,0,480
1743450246.4223447,0,480
1743450246.4982305,8,480
1743450246.584306,12,480
1743450246.663465,47,480
1743450246.7402272,56,480
1743450246.861355,69,480
1743450247.0045965,34,480
1743450247.150179,17,480
1743450247.2204063,8,480
1743450247.3376691,4,480
1743450247.4251912,2,480
1743450247.5046809,1,480
1743450247.582554,0,480
1743450247.6605124,0,480
1743450247.7416222,0,480
1743450247.8196037,0,480
1743450247.8973348,0,480
1743450247.974464,0,480
1743450248.0781512,0,480
1743450248.2058399,0,480
1743450248.315424,0,480
1743450248.4597714,0,480
1743450248.5832174,0,480
1743450248.6575384,0,480
1743450248.7493992,0,480
1743450248.84556,0,480
1743450248.9419274,0,480
1743450249.021236,0,480
1743450249.1033826,0,480
1743450249.19933,0,480
1743450249.296593,0,480
1743450249.3944824,0,480
1743450249.5062149,0,480
1743450249.611897,0,480
1743450249.7092872,0,480
1743450249.8593373,0,480
1743450250.0002127,24,480
1743450250.126067,61,480
1743450250.2279575,79,480
1743450250.3788342,80,480
1743450250.5077968,40,480
1743450250.6195683,20,480
1743450250.7201378,10,480
1743450250.8296826,5,480
1743450250.9552953,2,480
1743450251.0616455,1,480
1743450251.1593316,0,480
1743450251.268502,0,480
1743450251.3599226,0,480
1743450251.4714303,0,480
1743450251.5797431,0,480
1743450251.6750796,0,480
1743450251.7874537,0,480
1743450251.8864176,0,480
1743450251.9931848,0,480
1743450252.0837746,0,480
1743450252.1778533,0,480
1743450252.275746,0,480
1743450252.381258,0,480
1743450252.4945314,0,480
1743450252.58822,0,480
1743450252.696012,0,480
1743450252.7936766,0,480
1743450252.891703,0,480
1743450253.019443,0,480
1743450253.1263971,0,480
1743450253.23026,0,480
1743450253.3409262,0,480
1743450253.4452088,0,480
1743450253.558405,0,480
1743450253.6665,0,480
1743450253.7685437,0,480
1743450253.871989,0,480
1743450253.980246,0,480
1743450254.0799806,0,480
1743450254.1709979,0,480
1743450254.2821655,0,480
1743450254.3747263,0,480
1743450254.486336,0,480
1743450254.5948224,0,480
1743450254.7033932,0,480
1743450254.8200192,0,480
1743450254.967523,0,480
1743450255.1101718,0,480
1743450255.2544389,0,480
1743450255.393263,0,480
1743450255.5074847,0,480
1743450255.6167302,0,480
1743450255.7278075,0,480
1743450255.8756275,0,480
1743450255.9868054,0,480
1743450256.1259544,0,480
1743450256.246055,0,480
1743450256.364124,0,480
1743450256.4695518,0,480
1743450256.619264,0,480
1743450256.721321,0,480
1743450256.838527,0,480
1743450256.9394166,0,480
1743450257.0501466,0,480
1743450257.1865165,0,480
1743450257.3378844,0,480
1743450257.440007,0,480
1743450257.55387,0,480
1743450257.6479757,0,480
1743450257.7559974,0,480
1743450257.865774,0,480
1743450257.9725792,0,480
1743450258.0841725,0,480
1743450258.1914742,0,480
1743450258.3002758,0,480
1743450258.3986807,0,480
1743450258.5060055,0,480
1743450258.6207247,0,480
1743450258.7118623,0,480
1743450258.8612895,0,480
1743450258.9638894,0,480
1743450259.0753496,0,480
1743450259.186783,0,480
1743450259.2795205,0,480
1743450259.3948922,0,480
1743450259.5030458,16,480
1743450259.611683,65,480
1743450259.7077258,114,480
1743450259.7995772,229,480
1743450259.8966594,286,480
1743450260.0070539,348,480
1743450260.1123164,404,480
1743450260.2245734,448,480
1743450260.316233,478,480
1743450260.4740345,501,480
1743450260.61324,505,480
1743450260.7224972,523,480
1743450260.8761988,540,480
1743450260.9771533,557,480
1743450261.0887077,565,480
1743450261.20966,569,480
1743450261.3101337,563,480
1743450261.4076104,560,480
1743450261.549618,542,480
1743450261.6783917,517,480
1743450261.7700777,537,480
1743450261.8928924,555,480
1743450262.0024178,581,480
1743450262.115725,594,480
1743450262.2095437,600,480
1743450262.319868,603,480
1743450262.427637,596,480
1743450262.5266645,601,480
1743450262.6316347,621,480
1743450262.7432988,630,480
1743450262.838827,635,480
1743450262.9299405,637,480
1743450263.0662942,638,480
1743450263.1944692,639,480
1743450263.336405,639,480
1743450263.4737697,639,480
1743450263.585363,639,480
1743450263.691286,640,480
1743450263.805056,640,480
1743450263.8934414,640,480
1743450264.0066216,640,480
1743450264.1134264,631,480
1743450264.2077794,627,480
1743450264.3576055,625,480
1743450264.4869576,632,480
1743450264.5807786,627,480
1743450264.6761155,625,480
1743450264.7821436,632,480
1743450264.8770325,636,480
1743450265.0077891,638,480
1743450265.097582,639,480
1743450265.1932542,639,480
1743450265.3410025,639,480
1743450265.4455285,639,480
1743450265.5522118,639,480
1743450265.6596122,639,480
1743450265.7735918,640,480
1743450265.8693013,640,480
1743450265.9635043,640,480
1743450266.0742385,640,480
1743450266.1783526,640,480
1743450266.2759495,640,480
1743450266.3836095,640,480
1743450266.4779613,640,480
1743450266.585919,640,480
1743450266.6982028,640,480
1743450266.7947838,640,480
1743450266.8842924,640,480
1743450267.0000067,640,480
1743450267.1295238,640,480
1743450267.2160392,640,480
1743450267.332449,640,480
1743450267.4341624,640,480
1743450267.5428655,640,480
1743450267.6429474,640,480
1743450267.7369697,640,480
1743450267.8432589,640,480
1743450267.9404495,640,480
1743450268.0356414,640,480
1743450268.1454685,640,480
1743450268.2551308,631,480
1743450268.3632798,627,480
1743450268.456459,625,480
1743450268.5510035,624,480
1743450268.658591,632,480
1743450268.7723286,636,480
1743450268.9188566,629,480
1743450269.0635545,568,480
1743450269.2056568,513,480
1743450269.3052907,445,480
1743450269.4186575,411,480
1743450269.526975,369,480
1743450269.6359253,348,480
1743450269.7444458,338,480
1743450269.8515027,299,480
1743450269.9946961,239,480
1743450270.1010861,242,480
1743450270.2086673,227,480
1743450270.3614361,203,480
1743450270.472384,208,480
1743450270.6241024,186,480
1743450270.7552936,174,480
1743450270.8756819,152,480
1743450271.0150356,125,480
1743450271.1318562,111,480
1743450271.2280605,104,480
1743450271.3379216,68,480
1743450271.4443903,91,480
1743450271.5387387,86,480
1743450271.6350317,43,480
1743450271.7815812,21,480
1743450271.9234343,10,480
1743450272.0614088,5,480
1743450272.1561735,2,480
1743450272.260459,1,480
1743450272.3567593,0,480
1743450272.4492974,0,480
1743450272.546347,0,480
1743450272.6395178,0,480
1743450272.7333426,0,480
1743450272.845101,0,480
1743450272.955076,0,480
1743450273.0461326,0,480
1743450273.1438916,0,480
1743450273.255929,0,480
1743450273.365343,0,480
1743450273.473806,0,480
1743450273.5834174,0,480
1743450273.6752346,0,480
1743450273.7839868,0,480
1743450273.8798563,0,480
1743450273.977823,0,480
1743450274.0917678,0,480
1743450274.198903,0,480
1743450274.3112795,0,480
1743450274.4238698,0,480
1743450274.5322688,0,480
1743450274.6412292,0,480
1743450274.7366006,0,480
1743450274.829491,0,480
1743450274.9245849,0,480
1743450275.0432117,0,480
1743450275.1852846,0,480
1743450275.2693849,0,480
1743450275.3783057,0,480
1743450275.516384,0,480
1743450275.6600692,0,480
1743450275.7793689,0,480
1743450275.8856394,0,480
1743450275.9772818,0,480
1743450276.0702016,0,480
1743450276.1637945,0,480
1743450276.2928998,0,480
1743450276.443652,0,480
1743450276.572513,0,480
1743450276.6736336,0,480
1743450276.782928,0,480
1743450276.8934267,0,480
1743450276.9895895,0,480
1743450277.0939977,0,480
1743450277.1923225,0,480
1743450277.3022525,0,480
1743450277.3992162,0,480
1743450277.491943,0,480
1743450277.60362,0,480
1743450277.6979043,0,480
1743450277.792037,0,480
1743450277.891008,0,480
1743450277.9867365,0,480
1743450278.0922124,0,480
1743450278.1825817,0,480
1743450278.305564,0,480
1743450278.440398,0,480
1743450278.5817935,0,480
1743450278.6978927,0,480
1743450278.7810106,0,480
1743450278.9075356,0,480
1743450279.015456,0,480
1743450279.128937,0,480
1743450279.2231512,0,480
1743450279.3187716,0,480
1743450279.4275434,0,480
1743450279.5227563,0,480
1743450279.6303604,0,480
1743450279.726215,0,480
1743450279.8357885,0,480
1743450279.985851,0,480
1743450280.1032333,0,480
1743450280.1955075,0,480
1743450280.337736,0,480
1743450280.431932,0,480
1743450280.527002,0,480
1743450280.6238706,0,480
1743450280.7317944,0,480
1743450280.840987,0,480
1743450280.937345,0,480
1743450281.0477812,0,480
1743450281.1430154,0,480
1743450281.2567134,0,480
1743450281.3627007,0,480
1743450281.5156877,0,480
1743450281.6325097,0,480
1743450281.7810717,0,480
1743450281.9246325,0,480
1743450282.0688941,0,480
1743450282.2096758,0,480
1743450282.30954,0,480
1743450282.4098518,0,480
1743450282.5026271,0,480
1743450282.6246812,0,480
1743450282.7200165,0,480
1743450282.828068,0,480
1743450282.973303,0,480
1743450283.0798624,0,480
1743450283.1928403,0,480
1743450283.2875152,0,480
1743450283.3992188,0,480
1743450283.5071604,0,480
1743450283.6184819,0,480
1743450283.7236595,0,480
1743450283.8240063,0,480
1743450283.9197292,0,480
1743450284.0243962,0,480
1743450284.134885,0,480
1743450284.2457843,0,480
1743450284.3452823,0,480
1743450284.4540508,0,480
1743450284.645207,0,480
1743450284.7478175,0,480
1743450284.843334,41,480
1743450284.935089,61,480
1743450285.0423868,79,480
1743450285.1372964,105,480
1743450285.246136,134,480
1743450285.3704898,149,480
1743450285.5087988,164,480
