x,y,duration_ms
640,480,394.520751953125
399,248,349.500244140625
365,138,186.980224609375
347,110,564.96240234375
347,298,237.787353515625
364,378,941.672607421875
319,409,256.67236328125
381,352,337.73095703125
378,396,100.648193359375
345,399,754.560791015625
306,405,199.28125
355,333,224.1064453125
422,377,118.569580078125
429,413,395.64208984375
453,448,293.46630859375
451,411,692.5732421875
453,453,329.011962890625
468,439,384.84765625
629,465,208.63623046875
640,320,481.3154296875
570,319,398.43603515625
467,320,1012.072998046875
434,320,454.341552734375
473,320,122.843994140625
462,440,708.17431640625
630,478,1752.735595703125
557,480,2058.583984375
527,480,375.552978515625
476,480,140.0185546875
313,466,179.1572265625
631,469,1047.898193359375
543,326,419.31982421875
513,316,391.020751953125
479,339,659.677001953125
504,364,145.794921875
629,434,158.353271484375
638,404,391.363525390625
640,434,234.476318359375
640,398,701.61328125
640,359,1283.1298828125
640,390,380.75439453125
640,469,11652.1875
640,439,316.380859375
640,399,223.963623046875
