x,y,duration_ms
640,480,384.232421875
556,327,157.6103515625
538,297,426.181396484375
496,293,171.046630859375
459,293,318.32421875
421,306,312.12109375
401,332,141.698486328125
395,364,456.811767578125
393,409,153.3896484375
378,444,268.71875
380,476,1600.18994140625
578,480,115.12548828125
470,480,141.422119140625
433,480,444.876953125
469,480,159.5224609375
511,480,1399.923828125
481,480,158.662109375
447,480,246.617431640625
483,480,1208.70947265625
491,480,542.48291015625
455,480,303.641845703125
491,480,363.1875
524,480,2404.1806640625
556,480,822.54296875
588,480,168.009521484375
624,480,657.243408203125
543,480,182.575927734375
574,480,412.313720703125
608,480,399.325927734375
542,480,109.555908203125
455,480,2107.1435546875
567,480,540.435546875
534,480,462.2685546875
502,480,1128.6298828125
438,480,1059.02685546875
