x,y,duration_ms
640,456,822.805419921875
506,371,345.978271484375
464,348,438.497802734375
510,401,234.4453125
390,349,231.89892578125
403,318,452.635498046875
338,302,282.596923828125
321,341,218.001220703125
335,372,142.595947265625
380,394,157.689697265625
401,418,221.574951171875
321,228,276.100830078125
320,197,273.553955078125
351,228,159.624755859375
360,259,144.121826171875
145,224,157.1435546875
113,238,156.66796875
610,198,680.7685546875
227,258,144.82373046875
145,388,207.05517578125
180,430,380.7548828125
301,467,236.68701171875
455,479,236.796630859375
521,480,141.322021484375
542,458,365.35595703125
573,456,233.1123046875
575,422,319.650634765625
597,453,490.490966796875
565,431,112.423583984375
556,329,232.483642578125
554,294,738.385986328125
565,341,279.58935546875
458,392,157.16455078125
430,406,270.7958984375
436,365,155.7109375
349,331,392.587890625
396,372,266.912109375
332,313,295.539306640625
304,282,476.038330078125
381,1,156.71533203125
308,228,148.60986328125
299,259,181.5390625
266,255,156.697265625
237,242,157.40087890625
617,460,199.509765625
395,398,242.394287109375
523,472,237.730224609375
428,456,225.25634765625
