x,y,duration_ms
523,480,396.794677734375
233,422,108.65087890625
202,394,112.31982421875
224,436,839.54931640625
248,140,313.396728515625
317,137,156.469482421875
498,182,224.893310546875
243,331,107.546142578125
215,348,270.14892578125
185,341,189.6171875
590,282,105.5166015625
627,284,409.32421875
605,308,267.62548828125
188,285,196.686279296875
626,296,187.499267578125
638,266,193.380615234375
446,285,157.26953125
446,200,557.231201171875
488,215,271.41455078125
504,242,285.29150390625
485,280,282.066650390625
480,251,233.18212890625
605,224,253.348876953125
286,257,130.942626953125
594,296,104.816162109375
628,262,107.16552734375
541,225,187.2763671875
505,208,294.059326171875
593,247,147.638671875
628,230,220.249267578125
638,269,110.364990234375
639,300,112.74853515625
468,218,151.240234375
617,449,155.31787109375
637,476,956.502685546875
