x,y,duration_ms
553,392,107.1767578125
303,7,309.487060546875
369,8,155.717529296875
228,2,313.916259765625
274,39,124.570556640625
243,9,553.790771484375
313,436,320.37060546875
391,343,156.7314453125
319,467,107.089599609375
362,477,282.244384765625
326,435,176.635986328125
319,295,100.600341796875
218,139,189.29345703125
223,186,177.094482421875
226,71,347.63623046875
288,470,725.106689453125
336,397,202.33203125
342,470,268.8388671875
424,479,1138.768310546875
626,480,683.936767578125
386,480,609.21435546875
353,480,860.1171875
417,480,147.42041015625
533,480,147.416259765625
591,480,109.56298828125
628,480,2298.674072265625
588,480,106.984130859375
477,480,380.14697265625
529,480,186.7744140625
441,480,176.7314453125
411,480,189.523681640625
