timestamp,x,y
1743449378.6675804,640,443
1743449378.7282214,640,443
1743449378.7952955,640,443
1743449378.856289,640,462
1743449379.171316,585,414
1743449379.2678108,537,428
1743449379.3614168,543,417
1743449379.4705217,539,411
1743449379.567048,522,371
1743449379.675018,506,333
1743449379.7670085,461,184
1743449379.862551,438,147
1743449380.0426538,419,91
1743449380.146352,380,81
1743449380.2477083,376,95
1743449380.354258,374,102
1743449380.4567964,365,69
1743449380.55336,361,70
1743449380.6509125,373,53
1743449380.7511435,372,44
1743449380.84529,312,77
1743449380.935914,282,56
1743449381.028495,267,83
1743449381.1201518,260,96
1743449381.2207973,271,103
1743449381.3088923,262,106
1743449381.384894,257,108
1743449381.4695194,240,127
1743449381.5460682,239,137
1743449381.6232092,238,142
1743449381.7027361,230,89
1743449381.8093252,248,62
1743449381.8745937,257,31
1743449381.94995,262,15
1743449382.0339506,302,44
1743449382.1124747,344,58
1743449382.1910138,365,65
1743449382.306631,405,50
1743449382.4055643,425,43
1743449382.4826899,488,76
1743449382.5518534,526,56
1743449382.6213791,538,83
1743449382.699932,544,96
1743449382.7884505,428,84
1743449382.8914995,355,115
1743449382.9769976,333,131
1743449383.054708,322,139
1743449383.1392462,339,143
1743449383.2138026,348,145
1743449383.3099236,367,146
1743449383.392441,376,146
1743449383.4724412,359,91
1743449383.575982,335,119
1743449383.651628,413,114
1743449383.7292092,452,112
1743449383.8082922,397,185
1743449383.8948388,369,203
1743449383.9758503,348,230
1743449384.065369,337,244
1743449384.157913,332,232
1743449384.2362585,404,226
1743449384.3210905,455,242
1743449384.3986564,480,250
1743449384.4706628,485,254
1743449384.5502326,495,330
1743449384.6284008,501,368
1743449384.703638,510,405
1743449384.791524,485,442
1743449384.8755238,496,424
1743449384.9560535,493,415
1743449385.0458846,492,410
1743449385.1385393,350,260
1743449385.2292492,271,130
1743449385.319479,239,64
1743449385.4029162,223,32
1743449385.4923482,223,15
1743449385.572574,230,7
1743449385.65202,226,3
1743449385.8064628,224,1
1743449385.9085336,231,0
1743449385.986528,234,0
1743449386.081883,206,0
1743449386.1704059,199,36
1743449386.41808,285,258
1743449386.494723,410,369
1743449386.5723374,472,424
1743449386.6645224,496,452
1743449386.8476226,568,466
1743449387.0716572,596,473
1743449387.3966098,551,477
1743449387.4919589,528,478
1743449387.5840898,539,479
1743449387.678643,544,480
1743449387.7564583,525,405
1743449387.8519652,522,387
1743449387.9345107,506,341
1743449388.0290372,498,317
1743449388.1173413,516,343
1743449388.2144668,466,356
1743449388.2920008,411,381
1743449388.6394665,339,374
1743449388.7357993,310,427
1743449388.8078852,296,453
1743449388.900051,296,466
1743449389.039498,289,473
1743449389.13403,285,476
1743449389.284449,388,478
1743449389.368484,439,479
1743449389.4636276,479,479
1743449389.5910482,545,479
1743449389.681883,577,480
1743449389.76067,594,480
1743449389.8348897,609,480
1743449389.9343784,617,480
1743449390.009106,621,480
