timestamp,x,y
1743446353.0313227,640,428
1743446353.0778694,640,428
1743446353.1268675,640,408
1743446353.1744595,640,400
1743446353.2174377,640,388
1743446353.2729893,640,382
1743446353.3320048,640,379
1743446353.3780427,640,352
1743446353.4280238,640,338
1743446353.4727805,640,323
1743446353.5297997,640,315
1743446353.59008,640,311
1743446353.6491492,640,292
1743446353.6988955,640,283
1743446353.7439516,640,278
1743446353.8034341,640,259
1743446353.8470128,640,249
1743446353.9034224,640,244
1743446353.9474099,640,242
1743446353.9989562,640,241
1743446354.0439765,640,240
1743446354.0885246,530,214
1743446354.1689203,483,201
1743446354.2355556,460,194
1743446354.3088474,440,191
1743446354.3886108,430,189
1743446354.468115,425,188
1743446354.5451245,423,205
1743446354.6117218,414,213
1743446354.690835,409,243
1743446354.8267362,407,258
1743446354.8919225,414,292
1743446354.9774392,425,343
1743446355.0540848,415,368
1743446355.1292806,410,381
1743446355.2093213,337,370
1743446355.2858467,301,330
1743446355.3499017,283,293
1743446355.4314601,273,275
1743446355.510502,222,240
1743446355.5780864,196,197
1743446355.6536045,183,175
1743446355.7342348,177,147
1743446355.8122098,166,107
1743446355.8860912,223,96
1743446355.9576979,251,90
1743446356.0342124,281,87
1743446356.1142194,320,86
1743446356.194741,339,85
1743446356.2723596,419,68
1743446356.35251,498,42
1743446356.4302154,529,46
1743446356.4958975,545,48
1743446356.5721867,561,32
1743446356.6510549,577,41
1743446356.7296488,585,46
1743446356.8083844,581,57
1743446356.8868778,579,97
1743446356.9937456,539,117
1743446357.0633278,519,127
1743446357.1273334,360,157
1743446357.209628,281,198
1743446357.2821505,194,193
1743446357.365253,151,190
1743446357.4429615,130,241
1743446357.5225384,111,249
1743446357.5980892,101,253
1743446357.6816106,105,246
1743446357.7582092,106,208
1743446357.8252096,107,181
1743446357.9073331,108,167
1743446357.9830282,108,143
1743446358.0520291,108,122
1743446358.1235516,108,112
1743446358.2031014,108,64
1743446358.2796137,100,40
1743446358.347178,96,28
1743446358.4136887,94,22
1743446358.485303,93,28
1743446358.5578165,132,65
1743446358.6282623,151,83
1743446358.7071228,153,101
1743446358.7855299,146,144
1743446358.862572,143,166
1743446358.929298,126,254
1743446359.020785,125,315
1743446359.1304169,117,346
1743446359.2075932,113,413
1743446359.2891743,111,446
1743446359.356233,149,463
1743446359.434255,160,472
1743446359.509583,165,476
1743446359.5927672,183,460
1743446359.667309,192,461
1743446359.7453444,197,461
1743446359.8108435,317,461
1743446359.887058,392,427
1743446359.9696882,422,410
1743446360.0456874,437,402
1743446360.126253,390,398
1743446360.2068334,366,379
1743446360.2863433,441,369
1743446360.364816,478,364
1743446360.4443915,512,336
1743446360.5229757,536,322
1743446360.6015658,548,314
1743446360.6811311,523,294
1743446360.7471454,519,275
1743446360.8263493,493,274
1743446360.9065254,480,274
1743446360.9839551,451,265
1743446361.060277,435,286
1743446361.140082,428,297
1743446361.259591,432,302
1743446361.3370917,442,348
1743446361.417287,447,371
1743446361.4963305,434,416
1743446361.5758817,427,439
1743446361.6585803,424,450
1743446361.7368646,430,465
1743446361.8114595,433,472
1743446361.893607,435,450
1743446361.970194,428,430
1743446362.050687,424,412
1743446362.1157184,422,403
1743446362.1942556,429,364
1743446362.2699392,425,344
1743446362.3500988,423,334
1743446362.4306567,422,295
1743446362.4986482,421,276
1743446362.570666,429,249
1743446362.638259,433,235
1743446362.7122648,372,228
1743446362.7787986,342,208
1743446362.8564336,327,198
1743446362.9378262,334,167
1743446363.0138402,323,169
1743446363.0974355,372,161
1743446363.1702573,396,157
1743446363.252014,408,172
1743446363.3818552,399,180
1743446363.4569054,394,201
1743446363.5344384,392,211
1743446363.6114852,391,216
1743446363.6910646,406,253
1743446363.7727008,405,307
1743446363.8531153,405,333
1743446363.9285183,389,337
1743446364.0060196,397,366
1743446364.0844214,401,380
1743446364.1650455,387,387
1743446364.2456777,388,390
1743446364.3242943,389,375
1743446364.4059656,389,367
1743446364.4809518,389,346
1743446364.5475852,389,335
1743446364.6166024,389,330
1743446364.6931856,374,293
1743446364.77072,389,257
1743446364.8477528,397,239
1743446364.929318,385,205
1743446365.008355,387,196
1743446365.0869286,357,183
1743446365.1655493,365,168
1743446365.2421894,369,178
1743446365.325906,371,166
1743446365.4033012,372,159
1743446365.526606,373,156
1743446365.6051598,373,163
1743446365.683774,373,175
1743446365.763774,397,199
