x,y,duration_ms
351,399,159.678466796875
151,474,232.743408203125
281,175,149.580322265625
2,12,549.385498046875
0,60,304.238525390625
0,353,155.07763671875
0,294,160.113525390625
0,45,238.657470703125
0,441,182.884521484375
0,475,712.203857421875
0,119,203.20263671875
0,467,886.832763671875
0,52,161.109130859375
12,0,1400.826416015625
32,0,365.8017578125
1,0,775.17724609375
0,468,2506.32958984375
0,470,4038.087158203125
29,0,277.582763671875
0,450,363.470947265625
522,0,236.111572265625
456,0,307.2412109375
489,0,504.1259765625
638,469,715.132568359375
640,13,1024.2431640625
0,451,1064.393310546875
0,469,248.723388671875
626,480,626.54638671875
37,480,127.6474609375
0,11,915.80224609375
0,448,221.07861328125
0,478,297.1787109375
0,29,153.052001953125
606,3,163.1552734375
30,18,159.517578125
53,0,156.07861328125
1,443,163.135498046875
20,443,231.2890625
2,440,159.13720703125
0,401,155.620849609375
0,37,157.77880859375
0,4,2781.371337890625
28,465,239.169189453125
1,479,588.211181640625
243,480,186.1025390625
10,480,968.219482421875
547,480,443.841552734375
43,480,122.122802734375
7,480,1617.81298828125
13,0,1246.046142578125
0,447,231.39208984375
0,478,213.675048828125
0,12,1309.145263671875
0,126,218.348876953125
0,14,314.699951171875
605,0,149.856689453125
636,0,645.582275390625
33,0,152.04931640625
3,0,698.296875
608,0,237.00537109375
640,441,121.241455078125
640,475,132.646240234375
80,3,150.21533203125
35,0,156.240234375
596,29,160.084228515625
568,3,141.079345703125
404,0,163.598876953125
0,470,835.32421875
0,29,2099.435302734375
640,467,364.305419921875
640,30,191.036376953125
31,0,277.718505859375
456,0,470.8994140625
124,0,156.88720703125
67,0,141.5556640625
32,0,303.651611328125
1,0,1009.087890625
0,446,161.67822265625
0,476,1130.46630859375
0,104,207.274169921875
0,9,772.6796875
418,0,159.469482421875
90,35,159.6474609375
41,17,150.672607421875
58,0,150.217041015625
19,0,2234.890625
330,436,234.340576171875
280,207,238.863037109375
247,212,225.252197265625
255,173,396.07080078125
247,106,155.161865234375
316,2,159.708740234375
283,0,158.368896484375
141,0,668.716796875
190,0,234.885498046875
189,66,148.102294921875
207,28,626.954833984375
143,471,305.647216796875
9,480,214.35107421875
546,480,126.596435546875
13,480,313.817626953125
320,480,247.24609375
31,480,187.75537109375
1,480,1091.61865234375
16,444,145.88134765625
1,475,577.252197265625
12,3,379.85498046875
0,443,219.75341796875
0,475,30932.26708984375
56,480,205.44580078125
14,480,11861.422607421875
9,474,154.42822265625
409,226,153.373779296875
216,353,149.40673828125
354,165,157.349609375
176,265,160.18310546875
336,194,105.205322265625
364,208,144.387939453125
22,264,235.36279296875
1,299,327.55078125
26,289,234.82080078125
88,317,160.74609375
30,319,332.8203125
612,22,158.158447265625
0,332,144.24560546875
0,469,1752.02880859375
602,480,126.39013671875
10,480,1771.013916015625
48,480,261.174072265625
12,480,4690.693603515625
0,445,160.505859375
0,475,299.28759765625
0,448,237.8466796875
0,80,152.5908203125
0,194,111.935302734375
0,444,149.025146484375
0,475,1229.240478515625
0,47,152.31298828125
631,474,2477.233154296875
9,297,222.76123046875
0,190,198.0986328125
0,309,156.998046875
0,444,157.894775390625
0,475,304.621337890625
630,480,154.912353515625
10,479,503.312744140625
