x,y,duration_ms
640,428,143.13671875
640,388,114.567138671875
640,315,119.349365234375
640,283,104.53857421875
640,249,196.9638671875
440,191,236.277099609375
409,243,135.9013671875
561,32,157.462158203125
96,28,138.125
149,463,153.35009765625
183,460,152.5771484375
428,297,119.50927734375
424,450,311.61376953125
408,172,129.84130859375
394,201,154.580078125
397,366,474.932373046875
357,183,316.37255859375
373,156,157.167724609375
397,199,156.864501953125
283,335,155.67431640625
388,200,386.087646484375
419,240,166.09326171875
277,442,155.519287109375
240,212,347.962890625
221,84,153.7861328125
6,450,494.614013671875
0,480,1290.4267578125
530,480,120.56494140625
604,480,191.963134765625
634,480,646.727294921875
173,28,163.0546875
218,9,233.118408203125
178,0,627.593017578125
112,0,490.875732421875
606,476,197.33935546875
640,456,180.614990234375
148,480,129.506591796875
59,480,182.294189453125
279,480,188.0302734375
330,480,402.309814453125
364,480,361.84326171875
